           1       0.94      0.69      0.80,       733
           2       0.00      0.00      0.00,        25
           3       0.63      0.88      0.73,       214
           4       0.00      0.00      0.00,        12
           5       0.00      0.00      0.00,         6
           6       0.00      0.00      0.00,        10
           7       0.00      0.00      0.00,         5
           8       0.00      0.00      0.00,         4
           9       0.00      0.00      0.00,        61
          10       0.00      0.00      0.00,        10
          11       0.93      0.99      0.96,       321
          12       1.00      0.23      0.38,        26
          13       0.74      0.70      0.72,       237
          14       0.00      0.00      0.00,         7
          15       0.96      0.92      0.94,       311
          16       0.00      0.00      0.00,         2
          17       0.78      0.97      0.87,      1268
          18       0.00      0.00      0.00,        41
