              precision    recall  f1-score   support

           1       0.89      0.77      0.83,      733
           2       0.00      0.00      0.00,       25
           3       0.77      0.88      0.82,      214
           4       0.00      0.00      0.00,       12
           5       0.00      0.00      0.00,        6
           6       0.00      0.00      0.00,       10
           7       0.00      0.00      0.00,        5
           8       0.00      0.00      0.00,        4
           9       0.38      0.05      0.09,       61
          10       0.00      0.00      0.00,       10
          11       0.96      1.00      0.98,      321
          12       0.40      0.38      0.39,       26
          13       0.68      0.86      0.76,      237
          14       0.00      0.00      0.00,        7
          15       0.95      0.94      0.95,      311
          16       0.00      0.00      0.00,        2
          17       0.88      0.99      0.93,     1268
          18       0.90      0.68      0.78,       41


0.83,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.98,0.39,0.76,0.00,0.95,0.00,0.93,0.78 
